star_id,targettype,field,quarter,ra,dec,pm_ra,pm_dec,pm_total,gal_lat,gal_lon,start_time,end_time,umag,gmag,rmag,imag,zmag,gredmag,d51mag,jmag,hmag,kmag,kepmag,filter,npts,gkcolor,grcolor,jkcolor,reddening,extinction,eff_temp,surface_gravity,metallicity,radius,object_status,file_version,data_release,exposure,livetime,cdpp3_0,cdpp6_0,cdpp12_0,crowdsap,flfrcsap,pdcmethod,pdcvar,pdc_tot,pdc_totp,pdc_cor,pdc_corp,pdc_var,pdc_varp,pdc_noi,pdc_noip,pdc_ept,pdc_eptp
8561063,short cadence,The Kepler Field,13,292.2190540000000282816472463309765,44.61916000000000082081896835006773,0.08400000000000000521804821573823574,-0.4229999999999999871214129143481841,0.4313000000000000166977542903623544,12.54787400000000019417711882852018,76.91864999999999952251528156921268,1215.687094299999898794339969754219,1244.928770299999996495898813009262,,17.26999999999999957367435854393989,15.90900000000000069633188104489818,15.33799999999999918998128123348579,,,,12.1769999999999996020960679743439,11.68500000000000049737991503207013,11.46499999999999985789145284797996,15.91999999999999992894572642398998,Kepler band pass,42930,5.804999999999999715782905695959926,1.360999999999999987565502124198247,0.7119999999999999662492200513952412,,,3292,5.214999999999999857891452847979963,-0.4199999999999999844568776552478084,0.1479999999999999926725280374739668,1,6.1,25,26.92090801,26.92090801,,,,0.9336,0.3215,quickMap,1.0533,0.9057,35.34,1.0000,73.82,0.9922,43.70,0.7488,36.55,,
8561063,short cadence,The Kepler Field,13,292.2190540000000282816472463309765,44.61916000000000082081896835006773,0.08400000000000000521804821573823574,-0.4229999999999999871214129143481841,0.4313000000000000166977542903623544,12.54787400000000019417711882852018,76.91864999999999952251528156921268,1245.827884999999923820723779499531,1273.066891599999962636502459645271,,17.26999999999999957367435854393989,15.90900000000000069633188104489818,15.33799999999999918998128123348579,,,,12.1769999999999996020960679743439,11.68500000000000049737991503207013,11.46499999999999985789145284797996,15.91999999999999992894572642398998,Kepler band pass,39990,5.804999999999999715782905695959926,1.360999999999999987565502124198247,0.7119999999999999662492200513952412,,,3292,5.214999999999999857891452847979963,-0.4199999999999999844568776552478084,0.1479999999999999926725280374739668,1,6.1,25,25.07718062,25.07718062,,,,0.9336,0.3215,quickMap,0.9995,0.9596,70.85,1.0000,74.02,0.9976,36.81,0.8859,70.62,,
8561063,short cadence,The Kepler Field,14,292.2190540000000282816472463309765,44.61916000000000082081896835006773,0.08400000000000000521804821573823574,-0.4229999999999999871214129143481841,0.4313000000000000166977542903623544,12.54787400000000019417711882852018,76.91864999999999952251528156921268,1274.12944369999991067743394523859,1305.00539720000006127520464360714,,17.26999999999999957367435854393989,15.90900000000000069633188104489818,15.33799999999999918998128123348579,,,,12.1769999999999996020960679743439,11.68500000000000049737991503207013,11.46499999999999985789145284797996,15.91999999999999992894572642398998,Kepler band pass,45330,5.804999999999999715782905695959926,1.360999999999999987565502124198247,0.7119999999999999662492200513952412,,,3292,5.214999999999999857891452847979963,-0.4199999999999999844568776552478084,0.1479999999999999926725280374739668,1,6.1,25,28.42548106,28.42548106,,,,0.9226,0.5341,quickMap,1.0187,0.9477,59.66,0.9999,75.98,0.9955,21.43,0.8551,40.57,,
8561063,short cadence,The Kepler Field,14,292.2190540000000282816472463309765,44.61916000000000082081896835006773,0.08400000000000000521804821573823574,-0.4229999999999999871214129143481841,0.4313000000000000166977542903623544,12.54787400000000019417711882852018,76.91864999999999952251528156921268,1306.149697900000091976835392415524,1336.309893200000033175456337630749,,17.26999999999999957367435854393989,15.90900000000000069633188104489818,15.33799999999999918998128123348579,,,,12.1769999999999996020960679743439,11.68500000000000049737991503207013,11.46499999999999985789145284797996,15.91999999999999992894572642398998,Kepler band pass,44280,5.804999999999999715782905695959926,1.360999999999999987565502124198247,0.7119999999999999662492200513952412,,,3292,5.214999999999999857891452847979963,-0.4199999999999999844568776552478084,0.1479999999999999926725280374739668,1,6.1,25,27.76652900,27.76652900,,,,0.9226,0.5341,quickMap,1.0220,0.9559,34.82,1.0000,71.11,0.9791,7.14,0.8921,46.02,,
8561063,short cadence,The Kepler Field,14,292.2190540000000282816472463309765,44.61916000000000082081896835006773,0.08400000000000000521804821573823574,-0.4229999999999999871214129143481841,0.4313000000000000166977542903623544,12.54787400000000019417711882852018,76.91864999999999952251528156921268,1337.168101299999989350908435881138,1371.332566699999915726948529481888,,17.26999999999999957367435854393989,15.90900000000000069633188104489818,15.33799999999999918998128123348579,,,,12.1769999999999996020960679743439,11.68500000000000049737991503207013,11.46499999999999985789145284797996,15.91999999999999992894572642398998,Kepler band pass,50160,5.804999999999999715782905695959926,1.360999999999999987565502124198247,0.7119999999999999662492200513952412,,,3292,5.214999999999999857891452847979963,-0.4199999999999999844568776552478084,0.1479999999999999926725280374739668,1,6.1,25,31.45299991,31.45299991,,,,0.9226,0.5341,quickMap,1.0482,0.9019,29.48,0.9997,74.47,0.9740,7.14,0.7536,32.31,,
8561063,short cadence,The Kepler Field,15,292.2190540000000282816472463309765,44.61916000000000082081896835006773,0.08400000000000000521804821573823574,-0.4229999999999999871214129143481841,0.4313000000000000166977542903623544,12.54787400000000019417711882852018,76.91864999999999952251528156921268,1373.478008499999987179762683808804,1404.311263099999905534787103533745,,17.26999999999999957367435854393989,15.90900000000000069633188104489818,15.33799999999999918998128123348579,,,,12.1769999999999996020960679743439,11.68500000000000049737991503207013,11.46499999999999985789145284797996,15.91999999999999992894572642398998,Kepler band pass,45270,5.804999999999999715782905695959926,1.360999999999999987565502124198247,0.7119999999999999662492200513952412,,,3292,5.214999999999999857891452847979963,-0.4199999999999999844568776552478084,0.1479999999999999926725280374739668,1,6.1,25,28.38617083,28.38617083,,,,0.9370,0.2221,quickMap,1.0239,0.9207,47.46,1.0000,58.61,0.9991,35.58,0.7811,46.98,,
8561063,short cadence,The Kepler Field,15,292.2190540000000282816472463309765,44.61916000000000082081896835006773,0.08400000000000000521804821573823574,-0.4229999999999999871214129143481841,0.4313000000000000166977542903623544,12.54787400000000019417711882852018,76.91864999999999952251528156921268,1405.271603899999945497256703674793,1435.389450099999976373510435223579,,17.26999999999999957367435854393989,15.90900000000000069633188104489818,15.33799999999999918998128123348579,,,,12.1769999999999996020960679743439,11.68500000000000049737991503207013,11.46499999999999985789145284797996,15.91999999999999992894572642398998,Kepler band pass,44220,5.804999999999999715782905695959926,1.360999999999999987565502124198247,0.7119999999999999662492200513952412,,,3292,5.214999999999999857891452847979963,-0.4199999999999999844568776552478084,0.1479999999999999926725280374739668,1,6.1,25,27.72754092,27.72754092,,,,0.9370,0.2221,quickMap,1.6244,0.8219,7.96,0.9995,41.95,0.6377,15.15,0.8712,61.17,,
8561063,short cadence,The Kepler Field,16,292.2190540000000282816472463309765,44.61916000000000082081896835006773,0.08400000000000000521804821573823574,-0.4229999999999999871214129143481841,0.4313000000000000166977542903623544,12.54787400000000019417711882852018,76.91864999999999952251528156921268,1472.086820299999999406281858682632,1477.317677600000024540349841117859,,17.26999999999999957367435854393989,15.90900000000000069633188104489818,15.33799999999999918998128123348579,,,,12.1769999999999996020960679743439,11.68500000000000049737991503207013,11.46499999999999985789145284797996,15.91999999999999992894572642398998,Kepler band pass,7680,5.804999999999999715782905695959926,1.360999999999999987565502124198247,0.7119999999999999662492200513952412,,,3292,5.214999999999999857891452847979963,-0.4199999999999999844568776552478084,0.1479999999999999926725280374739668,1,6.1,25,4.81570994,4.81570994,,,,0.9831,0.7800,quickMap,1.0988,0.9978,76.77,0.9999,76.81,0.9994,33.30,0.9941,69.85,,
8561063,short cadence,The Kepler Field,16,292.2190540000000282816472463309765,44.61916000000000082081896835006773,0.08400000000000000521804821573823574,-0.4229999999999999871214129143481841,0.4313000000000000166977542903623544,12.54787400000000019417711882852018,76.91864999999999952251528156921268,1488.65806649999990440846886485815,1524.96837649999997665872797369957,,17.26999999999999957367435854393989,15.90900000000000069633188104489818,15.33799999999999918998128123348579,,,,12.1769999999999996020960679743439,11.68500000000000049737991503207013,11.46499999999999985789145284797996,15.91999999999999992894572642398998,Kepler band pass,53310,5.804999999999999715782905695959926,1.360999999999999987565502124198247,0.7119999999999999662492200513952412,,,3292,5.214999999999999857891452847979963,-0.4199999999999999844568776552478084,0.1479999999999999926725280374739668,1,6.1,25,33.42853934,33.42853934,,,,0.9831,0.7800,quickMap,1.1982,0.9568,80.74,1.0000,74.97,0.9801,44.23,0.8939,76.16,,
8561063,short cadence,The Kepler Field,16,292.2190540000000282816472463309765,44.61916000000000082081896835006773,0.08400000000000000521804821573823574,-0.4229999999999999871214129143481841,0.4313000000000000166977542903623544,12.54787400000000019417711882852018,76.91864999999999952251528156921268,1526.112667800000053830444812774658,1557.969268800000008923234418034554,,17.26999999999999957367435854393989,15.90900000000000069633188104489818,15.33799999999999918998128123348579,,,,12.1769999999999996020960679743439,11.68500000000000049737991503207013,11.46499999999999985789145284797996,15.91999999999999992894572642398998,Kepler band pass,46770,5.804999999999999715782905695959926,1.360999999999999987565502124198247,0.7119999999999999662492200513952412,,,3292,5.214999999999999857891452847979963,-0.4199999999999999844568776552478084,0.1479999999999999926725280374739668,1,6.1,25,29.32829931,29.32829931,,,,0.9831,0.7800,quickMap,1.1659,0.9471,73.49,1.0000,76.05,0.9388,41.28,0.9048,78.55,,
