HJD,Detr_Norm_Flux
2454957.175702,1.000013
2454957.196137,0.999898
2454957.216571,0.999947
2454957.237005,1.000052
2454957.257440,1.000069
2454957.277874,1.000058
2454957.298309,0.999997
2454957.318744,0.999954
2454957.339178,0.999978
2454957.359612,0.999997
2454957.380046,0.999988
2454957.400481,0.999051
2454957.420916,0.994619
2454957.441350,0.993342
2454957.461785,0.993016
2454957.482219,0.992623
2454957.502653,0.992553
2454957.523087,0.992430
2454957.543522,0.992831
2454957.563957,0.993359
2454957.584391,0.994154
2454957.604826,0.998072
2454957.625260,0.999949
2454957.645694,0.999916
2454957.666128,0.999845
2454957.686563,0.999926
2454957.706998,0.999912
2454957.727433,1.000122
2454957.747866,1.000020
2454957.768301,0.999778
2454957.788735,1.000033
2454957.809170,0.999973
2454957.829605,1.000003
2454957.850039,0.999977
2454957.870473,1.000023
2454957.890907,0.999961
2454957.911342,1.000041
2454957.931776,1.000048
2454957.952211,1.000131
2454957.972646,1.000057
2454957.993079,0.999954
2454958.013514,0.999994
2454958.033948,0.999882
2454958.054383,0.999865
2454958.074818,0.999981
2454958.095252,1.000042
2454958.115686,1.000146
2454958.136120,0.999895
2454958.156555,0.999974
2454958.176989,1.000022
2454958.197424,1.000069
2454958.217859,0.999956
2454958.238294,0.999892
2454958.258727,1.000054
2454958.279161,0.999960
2454958.299596,0.999984
2454958.320031,1.000058
2454958.340466,1.000104
2454958.360900,1.000020
2454958.381333,1.000114
2454958.401768,1.000007
2454958.422203,1.000027
2454958.442637,0.999978
2454958.463072,0.999849
2454958.483507,0.999991
2454958.503940,1.000026
2454958.524375,1.000053
2454958.544809,0.999916
2454958.565244,0.999766
2454958.585679,0.999915
2454958.606113,0.999872
2454958.626546,1.000009
2454958.646981,0.999849
2454958.667416,0.999894
2454958.687851,0.999881
2454958.708285,0.999990
2454958.728720,0.999894
2454958.749153,0.999927
2454958.769588,1.000007
2454958.790022,1.000063
2454958.810457,0.999920
2454958.830892,1.000061
2454958.851326,1.000044
2454958.871760,0.999991
2454958.892194,0.999948
2454958.912629,0.999954
2454958.933064,0.999950
2454958.953498,1.000011
2454958.973933,0.999994
2454958.994367,0.999875
2454959.014801,0.999924
2454959.035236,1.000157
2454959.055670,1.000134
2454959.076105,0.999925
2454959.096540,0.999995
2454959.116974,0.999996
2454959.137408,1.000094
2454959.157842,0.999840
2454959.178277,0.999934
2454959.198712,0.999780
2454959.219146,1.000103
2454959.239581,1.000004
2454959.260014,0.999950
2454959.280449,0.999897
2454959.300883,0.999938
2454959.321318,0.999955
2454959.341753,1.000084
2454959.362187,1.000031
2454959.382621,1.000087
2454959.403055,1.000077
2454959.423490,1.000087
2454959.443925,0.999989
2454959.464359,0.999896
2454959.484794,0.999927
2454959.505227,0.999948
2454959.525662,0.999864
2454959.546096,0.999988
2454959.566531,0.999864
2454959.586966,0.999927
2454959.607401,1.000032
2454959.627834,0.999923
2454959.648268,0.999942
2454959.668703,0.999952
2454959.689138,1.000059
2454959.709573,0.999883
2454959.730007,1.000013
2454959.750441,1.000012
2454959.770875,0.999997
2454959.791310,1.000055
2454959.811744,1.000130
2454959.832179,0.999892
2454959.852614,1.000000
2454959.873048,0.999999
2454959.893482,1.000004
2454959.913916,0.999918
2454959.934351,0.999975
2454959.954786,1.000011
2454959.975220,1.000027
2454959.995655,1.000100
2454960.016088,1.000075
2454960.036523,0.999833
2454960.056958,1.000062
2454960.077392,0.999974
2454960.097827,1.000165
2454960.118261,1.000039
2454960.138695,1.000004
2454960.159130,1.000192
2454960.179564,1.000148
2454960.199999,0.999916
2454960.220434,1.000130
2454960.240868,1.000020
2454960.261301,1.000236
2454960.281736,1.000048
2454960.302171,0.999920
2454960.322605,0.999922
2454960.343040,1.000085
2454960.363474,0.999935
2454960.383908,0.999811
2454960.404343,0.999928
2454960.424777,0.999880
2454960.445212,0.999903
2454960.465647,1.000037
2454960.486081,0.999989
2454960.506516,0.999887
2454960.526949,1.000020
2454960.547384,1.000117
2454960.567819,0.999916
2454960.588253,0.999945
2454960.629122,1.000028
2454960.649556,0.999942
2454960.669991,1.000022
2454960.690425,1.000054
2454960.710860,0.999843
2454960.731294,0.999895
2454960.751729,0.999809
2454960.772162,0.999868
2454960.792597,1.000188
2454960.813032,0.999988
2454960.833466,0.999971
2454960.853901,1.000040
2454960.874335,0.999860
