,HJD,Detr_Norm_Flux
230,2454958.238294,
231,2454958.258727,1.000054
232,2454958.279161,0.9999600000000001
233,2454958.299596,0.999984
234,2454958.3200310003,1.000058
235,2454958.340466,1.000104
236,2454958.3609,1.0000200000000001
237,2454958.381333,1.000114
238,2454958.401768,1.0000069999999999
239,2454958.4222029997,1.000027
240,2454958.442637,0.999978
241,2454958.463072,0.999849
242,2454958.483507,
243,2454958.50394,1.000026
244,2454958.524375,1.000053
245,2454958.544809,0.999916
246,2454958.565244,0.9997659999999999
247,2454958.5856790002,0.999915
248,2454958.6061130003,
249,2454958.626546,
250,2454958.646981,
251,2454958.667416,0.9998940000000001
252,2454958.6878509996,0.9998809999999999
253,2454958.7082849997,0.9999899999999999
254,2454958.72872,0.9998940000000001
255,2454958.749153,0.999927
256,2454958.769588,1.0000069999999999
257,2454958.790022,1.000063
258,2454958.810457,0.99992
259,2454958.830892,1.000061
260,2454958.851326,1.0000440000000002
261,2454958.87176,0.999991
262,2454958.892194,
263,2454958.912629,
264,2454958.9330639997,
265,2454958.953498,1.000011
266,2454958.973933,0.999994
267,2454958.9943669997,0.999875
268,2454959.014801,0.9999239999999999
269,2454959.035236,1.000157
270,2454959.05567,1.000134
271,2454959.076105,0.999925
272,2454959.0965400003,0.9999950000000001
273,2454959.1169740004,0.9999959999999999
274,2454959.137408,1.000094
275,2454959.157842,0.99984
276,2454959.178277,
277,2454959.1987119997,0.9997799999999999
278,2454959.2191459998,1.000103
279,2454959.239581,1.0000040000000001
280,2454959.260014,0.99995
281,2454959.280449,0.9998969999999999
282,2454959.3008830003,0.9999379999999999
283,2454959.321318,
284,2454959.341753,
285,2454959.362187,1.000031
286,2454959.382621,1.0000870000000002
287,2454959.403055,1.000077
288,2454959.42349,1.0000870000000002
289,2454959.443925,0.9999889999999999
290,2454959.464359,0.9998959999999999
291,2454959.4847939997,
292,2454959.505227,
293,2454959.525662,0.999864
294,2454959.546096,0.9999879999999999
295,2454959.566531,0.999864
296,2454959.586966,0.999927
297,2454959.607401,
298,2454959.627834,0.999923
299,2454959.648268,0.999942
300,2454959.668703,0.9999520000000001
301,2454959.689138,
302,2454959.7095729997,0.999883
303,2454959.730007,1.0000129999999998
304,2454959.750441,1.0000120000000001
305,2454959.770875,0.9999969999999999
306,2454959.79131,1.000055
307,2454959.811744,
308,2454959.832179,0.999892
309,2454959.852614,1.0
310,2454959.873048,0.999999
311,2454959.893482,1.0000040000000001
312,2454959.913916,0.9999180000000001
313,2454959.934351,0.999975
314,2454959.954786,1.000011
315,2454959.97522,1.000027
316,2454959.9956549997,1.0001
317,2454960.016088,
318,2454960.036523,0.999833
319,2454960.056958,1.000062
320,2454960.077392,0.999974
321,2454960.097827,1.000165
322,2454960.118261,1.000039
323,2454960.138695,1.0000040000000001
324,2454960.15913,
325,2454960.179564,1.000148
326,2454960.199999,0.999916
327,2454960.220434,
328,2454960.240868,1.0000200000000001
329,2454960.2613009997,
330,2454960.281736,1.000048
331,2454960.302171,
332,2454960.322605,
333,2454960.34304,1.0000850000000001
334,2454960.3634740002,0.999935
335,2454960.3839080003,0.999811
336,2454960.404343,0.999928
337,2454960.424777,0.9998799999999999
338,2454960.445212,0.9999030000000001
339,2454960.4656470004,
340,2454960.486081,
341,2454960.506516,0.9998870000000001
342,2454960.526949,1.0000200000000001
343,2454960.547384,
344,2454960.5678189998,0.999916
345,2454960.588253,0.9999450000000001
346,2454960.629122,1.0000280000000001
347,2454960.6495560003,0.999942
348,2454960.669991,1.000022
349,2454960.690425,
350,2454960.71086,0.999843
351,2454960.731294,0.9998950000000001
352,2454960.751729,0.9998090000000001
353,2454960.7721619997,0.999868
354,2454960.792597,1.0001879999999999
355,2454960.813032,0.9999879999999999
356,2454960.833466,0.9999709999999999
357,2454960.8539009998,1.00004
358,2454960.874335,0.9998600000000001
359,2454960.894769,1.000135
360,2454960.915204,0.9999049999999999
361,2454960.9356380003,1.000008
362,2454960.956073,0.9999299999999999
363,2454960.976507,0.999868
364,2454960.996942,0.999965
365,2454961.017376,1.0000069999999999
366,2454961.0378099997,0.99982
367,2454961.058245,0.999891
368,2454961.07868,1.000018
369,2454961.099114,
370,2454961.119548,1.000048
371,2454961.139982,
372,2454961.160417,1.0000360000000001
373,2454961.180851,0.9999879999999999
374,2454961.201286,
375,2454961.221721,1.0
376,2454961.242155,1.000097
377,2454961.26259,0.999967
378,2454961.2830229998,1.0001309999999999
379,2454961.303458,0.999782
380,2454961.323893,0.999866
381,2454961.344327,0.9999379999999999
382,2454961.364762,
383,2454961.385196,0.9999709999999999
384,2454961.40563,
385,2454961.4260650002,0.9999469999999999
386,2454961.4464990003,1.000022
387,2454961.466934,
388,2454961.487368,
389,2454961.507803,0.999991
390,2454961.528237,
391,2454961.5486709997,
392,2454961.569106,1.000122
393,2454961.589541,0.9999180000000001
394,2454961.609975,0.999811
395,2454961.630409,1.0000069999999999
396,2454961.650843,0.9999309999999999
397,2454961.671278,
398,2454961.691713,
399,2454961.7121470002,0.999922
400,2454961.7325810003,1.000026
401,2454961.753016,1.0000799999999999
402,2454961.8143189996,0.999948
403,2454961.834754,1.000008
404,2454961.855188,0.999958
405,2454961.875622,1.000052
406,2454961.896057,1.0000229999999999
407,2454961.916491,0.9999629999999999
408,2454961.936926,0.99997
409,2454961.95736,0.9998969999999999
410,2454961.977794,0.9998290000000001
411,2454961.9982290003,1.0002360000000001
412,2454962.018664,0.9999379999999999
413,2454962.039098,1.0000879999999999
414,2454962.0595319998,0.9999870000000001
415,2454962.0799669996,0.999985
416,2454962.1004009997,1.000248
417,2454962.120836,1.000046
418,2454962.141271,0.999977
419,2454962.161704,0.999863
420,2454962.182139,
421,2454962.202573,1.000047
422,2454962.223007,0.9999299999999999
423,2454962.243443,
424,2454962.263877,
425,2454962.2843110003,0.999183
426,2454962.304745,0.994784
427,2454962.3251799997,0.9932979999999999
428,2454962.3456139998,0.992908
429,2454962.366049,0.992452
430,2454962.386484,0.992506
431,2454962.4069169997,0.99261
432,2454962.427352,
433,2454962.447786,0.9932489999999999
434,2454962.468221,0.993927
435,2454962.4886560002,0.99782
436,2454962.5090900003,0.9998520000000001
437,2454962.5295240004,0.999901
438,2454962.549958,1.0001280000000001
439,2454962.570393,1.000051
440,2454962.590828,
441,2454962.6112619997,1.0000440000000002
442,2454962.631697,0.999857
443,2454962.65213,0.999948
444,2454962.672565,1.0000129999999998
445,2454962.693,1.000003
446,2454962.713434,1.000029
447,2454962.733869,1.000184
448,2454962.754303,0.999677
449,2454962.7747380002,1.0000959999999999
450,2454962.7951720003,1.000022
451,2454962.815607,0.999944
452,2454962.836041,0.999806
453,2454962.856475,0.999923
454,2454962.8769099996,0.999944
455,2454962.8973439997,1.000005
456,2454962.917779,1.0000149999999999
457,2454962.938213,0.999956
458,2454962.958647,
459,2454962.979082,1.000102
460,2454962.999516,
461,2454963.019951,0.9998600000000001
462,2454963.040385,
463,2454963.0608200002,0.9997889999999999
464,2454963.0812540003,
465,2454963.101688,0.9998879999999999
466,2454963.1221229997,1.0000040000000001
467,2454963.142557,0.9999100000000001
468,2454963.1629919996,1.000026
469,2454963.1834259997,
470,2454963.203861,
471,2454963.224295,1.0000879999999999
472,2454963.244729,
473,2454964.511666,0.999922
474,2454964.5321,
475,2454964.552535,1.000001
476,2454964.572969,0.999915
477,2454964.593404,0.9998610000000001
478,2454964.613838,
479,2454964.6342720003,0.99982
480,2454964.654707,
481,2454964.675141,0.99997
482,2454964.695576,
483,2454964.7160099996,1.000069
484,2454964.736445,
485,2454964.756879,1.000011
486,2454964.777313,0.9998549999999999
487,2454964.797748,0.99992
488,2454964.818182,
489,2454964.838617,
490,2454964.859051,0.999868
491,2454964.879486,1.000049
492,2454964.89992,0.9999969999999999
493,2454964.920355,0.999878
494,2454964.940789,0.999992
495,2454964.9612229997,0.9999309999999999
496,2454964.981658,1.000139
497,2454965.0020919996,1.000066
498,2454965.022527,1.0000200000000001
499,2454965.042961,1.0001440000000001
500,2454965.063396,1.0001280000000001
501,2454965.08383,0.99997
502,2454965.104264,0.999958
503,2454965.1246990003,0.9999040000000001
504,2454965.1451330003,1.000048
505,2454965.165568,0.999926
506,2454965.1860020002,0.9998239999999999
507,2454965.206437,0.9999870000000001
508,2454965.226871,
509,2454965.2473049997,0.999974
510,2454965.26774,0.9999950000000001
511,2454965.288174,0.9999040000000001
512,2454965.308609,1.000056
513,2454965.329043,0.9999879999999999
514,2454965.349478,0.999967
